TICKER	FECHA	APERTURA	MAXIMO	MINIMO	ULTIMO	VOLUMEN
FDR	31/10/2014	2,4849	2,5549	2,4649	2,5149	7160
FDR	03/11/2014	2,4649	2,6099	2,4649	2,4649	13216
FDR	04/11/2014	2,4699	2,4999	2,4499	2,4499	15908
FDR	05/11/2014	2,4549	2,5749	2,4549	2,5599	28494
FDR	06/11/2014	2,6099	2,6299	2,5699	2,5999	20943
FDR	07/11/2014	2,5899	2,5949	2,5199	2,5299	22385
FDR	10/11/2014	2,5349	2,5349	2,4599	2,4649	6892
FDR	11/11/2014	2,4749	2,4999	2,4699	2,4999	10751
FDR	12/11/2014	2,4749	2,5899	2,4749	2,5699	27440
FDR	13/11/2014	2,5199	2,6099	2,4999	2,5249	50196
FDR	14/11/2014	2,5249	2,5549	2,4699	2,4799	18253
FDR	17/11/2014	2,4749	2,5599	2,4449	2,5099	43359
FDR	18/11/2014	2,5599	2,5899	2,5149	2,5599	17325
FDR	19/11/2014	2,5749	2,7699	2,5649	2,7449	33751
FDR	20/11/2014	2,6749	2,7599	2,6499	2,6649	11278
FDR	21/11/2014	2,6849	2,7099	2,6399	2,7099	16257
FDR	24/11/2014	2,7049	2,7499	2,6649	2,7399	13367
FDR	25/11/2014	2,6799	2,8099	2,6799	2,7999	40587
FDR	26/11/2014	2,7599	2,8749	2,7599	2,8749	30457
FDR	27/11/2014	2,7999	2,8799	2,7799	2,8199	10816
FDR	28/11/2014	2,7949	2,8799	2,7899	2,8299	25121
FDR	01/12/2014	2,8099	2,8799	2,8099	2,8099	6582
FDR	03/12/2014	2,8099	2,8199	2,7649	2,8199	18017
FDR	04/12/2014	2,7799	2,9099	2,7799	2,9099	56811
FDR	05/12/2014	2,8499	2,8949	2,8399	2,8499	93307
FDR	08/12/2014	2,8099	2,8999	2,8099	2,8999	5458
FDR	09/12/2014	2,8099	2,8999	2,8099	2,8149	21088
FDR	10/12/2014	2,8099	2,8599	2,8099	2,8299	9195
FDR	11/12/2014	2,7699	2,8599	2,7649	2,8199	13713
FDR	12/12/2014	2,8199	2,8549	2,7999	2,7999	11415
FDR	15/12/2014	2,7999	2,8299	2,7799	2,7849	13175
FDR	16/12/2014	2,7849	2,8499	2,7849	2,8099	74380
FDR	17/12/2014	2,7649	2,8149	2,7649	2,8099	6499
FDR	18/12/2014	2,8799	2,8949	2,8099	2,8199	76050
FDR	19/12/2014	2,8299	2,8599	2,8149	2,8399	57095
FDR	22/12/2014	2,7599	2,8399	2,7599	2,8299	50649
FDR	23/12/2014	2,8049	2,8599	2,7999	2,8399	40182
FDR	24/12/2014	2,8049	2,8699	2,7999	2,8049	63461
FDR	29/12/2014	2,7249	2,7999	2,7099	2,7399	23966
FDR	30/12/2014	2,6999	2,8649	2,6999	2,8399	25819
FDR	31/12/2014	2,9799	2,9799	2,7599	2,9799	60007
FDR	02/01/2015	2,9099	2,9199	2,8849	2,9199	14232
FDR	05/01/2015	2,9199	2,9349	2,8599	2,8599	7081
FDR	06/01/2015	2,8599	2,9449	2,7699	2,7699	9280
FDR	07/01/2015	2,8599	2,9599	2,7299	2,8399	32365
FDR	08/01/2015	2,9049	2,9049	2,7999	2,8049	2211
FDR	09/01/2015	2,7999	2,8399	2,7599	2,8099	71868
FDR	12/01/2015	2,8099	2,8599	2,7799	2,8499	108544
FDR	13/01/2015	2,8099	2,8249	2,8099	2,8099	11472
FDR	14/01/2015	2,8099	2,8299	2,8099	2,8299	50341
FDR	15/01/2015	2,8149	2,8549	2,8099	2,8099	20824
FDR	16/01/2015	2,8099	2,8599	2,8099	2,8149	9530
FDR	19/01/2015	2,8299	2,8499	2,8099	2,8499	10593
FDR	20/01/2015	2,8299	2,8949	2,8299	2,8749	15798
FDR	21/01/2015	2,8099	2,8949	2,8099	2,8799	52506
FDR	22/01/2015	2,7699	2,8899	2,7699	2,8099	39102
FDR	23/01/2015	2,7899	2,8999	2,7899	2,8349	19550
FDR	26/01/2015	2,8349	2,8599	2,7899	2,8249	22010
FDR	27/01/2015	2,8099	2,8199	2,7599	2,8099	12616
FDR	28/01/2015	2,7599	2,8399	2,7599	2,8399	74836
FDR	29/01/2015	2,8549	2,8799	2,8099	2,8649	35945
FDR	30/01/2015	2,7999	2,8999	2,7999	2,8899	22246
FDR	02/02/2015	2,8199	2,8899	2,7999	2,8549	15821
FDR	03/02/2015	2,8099	2,9049	2,8099	2,8999	18315
FDR	04/02/2015	2,9099	2,9399	2,9099	2,9099	29156
FDR	05/02/2015	2,8699	2,9299	2,8699	2,9299	11882
FDR	06/02/2015	2,9349	3,0099	2,9099	2,9499	122274
FDR	09/02/2015	2,9499	3,0099	2,9499	3,0099	33621
FDR	10/02/2015	2,9599	2,9949	2,9099	2,9449	6787
FDR	11/02/2015	2,9099	2,9999	2,9099	2,9999	13760
FDR	12/02/2015	2,9899	3,0099	2,9899	3,0099	15579
FDR	13/02/2015	2,9399	3,0199	2,9399	2,9799	25416
FDR	16/02/2015	2,9099	3,0099	2,9099	3,0099	31482
FDR	17/02/2015	2,9399	3,0099	2,9399	3,0049	5797
FDR	18/02/2015	2,9299	3,2099	2,9299	3,1599	247223
FDR	19/02/2015	3,1599	3,2099	3,0749	3,1499	45726
FDR	20/02/2015	3,0949	3,2099	3,0949	3,1999	28562
FDR	23/02/2015	3,1049	3,3099	3,1049	3,1799	25346
FDR	24/02/2015	3,1349	3,1849	3,1299	3,1449	25982
